time_myr,dt_myr,eroded_bedrock_volume_km3,reworked_sediment_volume_km3,transported_to_deep_reservoir_km3,rift_recycled_volume_km3,surface_sediment_volume_km3,deep_recycled_sediment_volume_km3,cumulative_rift_recycled_volume_km3,mean_sediment_thickness_m,max_sediment_thickness_m,area_fraction_over_1km,step_surface_mass_error_km3,global_continental_ledger_error_km3
300.0,4.0,1702644.217560715,1396137.7978705547,405320.283233315,149796.18023481764,98751516.71876882,77139436.74651669,62634854.83447689,281.13524158925503,10685.513252409412,0.07495356075964163,0.0,4.76837158203125e-07
304.0,4.0,1317882.4313496747,1418496.1551087098,1423985.9898172885,354898.2433810418,98645413.16030121,78563422.73633398,62989753.07785793,280.83317585361453,10827.496051877633,0.07481337676143053,0.0,4.76837158203125e-07
308.0,4.0,1339727.1260101271,1213854.922811996,554239.7904496824,319834.580641279,99430900.49586166,79117662.52678366,63309587.6584992,283.0693761590435,10706.5794440195,0.07712040785556165,1.4901161193847656e-08,4.76837158203125e-07
312.0,4.0,1497598.3587954189,1189182.0411032413,286034.52877048985,314491.04069281643,100642464.32588659,79403697.05555415,63624078.69919202,286.51857168912215,10875.798771833284,0.07735898791202085,0.0,4.76837158203125e-07
316.0,4.0,1557547.1237409688,1210382.1129885437,889086.5575727883,444710.48424660024,101310924.89205478,80292783.61312693,64068789.183438614,288.4216090196552,10767.674437431706,0.07908212737914709,0.0,4.76837158203125e-07
320.0,4.0,1465355.9373923708,1687315.253891708,699055.4006556283,730098.7752708809,102077225.42879151,80991839.01378256,64798887.95870949,290.6031865152089,10807.358934015003,0.08035464661366525,-1.4901161193847656e-08,4.76837158203125e-07
324.0,4.0,1489069.8748493942,1604822.6469425156,1290322.4834675328,360931.9989292895,102275972.82017337,82282161.4972501,65159819.957638785,291.1689995553316,10838.449560435829,0.08046673805639283,0.0,4.76837158203125e-07
328.0,4.0,1791595.2133255869,1536724.8273654915,214859.0614774533,261920.62526626253,103852708.97202149,82497020.55872755,65421740.58290505,295.65780249933835,10748.090205768576,0.08114814432148816,-1.4901161193847656e-08,0.0
332.0,4.0,1672523.7041524271,1506683.5001147995,1122899.64886836,325831.6919928263,104402333.02730557,83619920.20759591,65747572.27489787,297.2225247101941,10815.938534223102,0.08177278645622811,2.9802322387695312e-08,0.0
336.0,4.0,1379539.4011924616,1691644.244541423,1463063.5205246827,1003486.5231779021,104318808.90797335,85082983.7281206,66751058.79807577,296.9847402766257,11031.790756190341,0.08234685604603452,0.0,4.76837158203125e-07
