time_myr,dt_myr,mean_continental_lithosphere_age_myr,max_continental_lithosphere_age_myr,mean_mantle_depletion_fraction,max_mantle_depletion_fraction,mean_craton_strength,max_craton_strength,cratonic_area_fraction_of_surface,cratonic_fraction_of_continental_material,juvenile_continental_fraction_of_surface,new_continental_material_volume_km3,mean_extension_factor_continental
424.0,4.0,825.3761022246887,924.0,0.4177052243074211,0.46209674206898527,0.6211852036806949,0.6858230956495422,0.1544688228958581,0.5447651913103453,0.006072922696702826,499207.06555548904,0.5775940614971274
428.0,4.0,827.6915428715603,928.0,0.41822740154692783,0.4632404353476596,0.6219370629145589,0.6873840063197646,0.1599416722052529,0.5640662887431599,0.0062210176667577295,444152.4369679522,0.5770827972181
432.0,4.0,828.933345157614,932.0,0.4181908872789939,0.46437905682411557,0.6218159737821143,0.6889370680263561,0.16181278989049294,0.570665159406214,0.006563943940449017,450428.56394558656,0.5771651378281623
436.0,4.0,829.9639365697559,936.0,0.4181572275910357,0.46551262898967866,0.6217114185489747,0.6904823205934385,0.1640695413274915,0.5786240446056258,0.006944314071821134,465725.21077203494,0.5772362353866972
440.0,4.0,832.6771566548448,940.0,0.41886004376106445,0.4666411742359347,0.6226508772177506,0.6920198036421374,0.16597973333332539,0.5853607186735,0.0069129473778266805,518832.5031297046,0.5765974034919294
444.0,4.0,834.6314363706947,944.0,0.41918313019099146,0.4677647148551722,0.6229515259775008,0.693549556591617,0.16666339137173483,0.5877717754492486,0.007303017853037034,532722.4105304016,0.5763929623352994
448.0,4.0,835.8957334233803,948.0,0.4191193646706522,0.46888327304082256,0.6224612996876141,0.6950716186601078,0.16811538810284185,0.5928925322607173,0.008021478515478544,511073.9904879795,0.5767263162124222
452.0,4.0,839.2294194487716,952.0,0.4201347817342531,0.4699968708878987,0.6238651120139614,0.6965860288659321,0.1691589625287046,0.5965729061451936,0.007731090515556462,476702.2910719884,0.5757717238305061
456.0,4.0,842.9208570564715,956.0,0.4213164036796088,0.47110553039343134,0.625573235906161,0.698092826028522,0.17244494546144648,0.6081615820180236,0.007630059194430362,390319.4122209579,0.5746101995838107
460.0,4.0,843.9060936641177,960.0,0.42115404819706387,0.4722092734569035,0.6251544331916004,0.6995920487694333,0.17281964560645932,0.6094830370039241,0.008417778051802192,391581.0048831103,0.5748949854297117
464.0,4.0,847.4788625888599,964.0,0.4222663283463686,0.4733081218806833,0.6265323965252897,0.7010837355133538,0.17289439768059098,0.6097466651406689,0.008354584677920681,411237.5634392471,0.573957970362803
468.0,4.0,850.7124275414578,968.0,0.42319368530555784,0.4744020973704542,0.6274748983765962,0.7025679244891064,0.17382291156212606,0.6130212550082293,0.008415327866176625,447395.71471206937,0.5733170691039146
472.0,4.0,853.9616361456829,972.0,0.424140254671319,0.47549122153564427,0.628982868263104,0.7040446537306483,0.17466683646012982,0.6159975249110725,0.008394859924157932,385548.5127113855,0.5722916495810891
476.0,4.0,859.0721972091001,976.0,0.4259354876567862,0.47657551588985264,0.6315325290144784,0.7055139610780624,0.17639202938134796,0.6220817627148932,0.00789420607458829,378459.35383445234,0.5705578802701546
480.0,4.0,862.7199827968502,980.0,0.4270292785050444,0.47765500185127463,0.6329200527182114,0.7069758841785473,0.1782603088634814,0.6286706238871688,0.007895193752783167,406022.0500929984,0.5696143641516164
484.0,4.0,865.3328384487022,984.0,0.4276702642901376,0.4787297007431249,0.6336752903455611,0.7084304604873994,0.17958516955925016,0.6333430100480747,0.008119511527738224,437052.2130353488,0.5691008025650185
488.0,4.0,868.7325729237335,988.0,0.42866128161983563,0.4797996337940584,0.634708838632675,0.7098777272689915,0.18129326767526774,0.6393669596031023,0.008196533546338876,463584.3505366305,0.568397989729781
492.0,4.0,871.9743651415582,992.0,0.42952303345045806,0.48086482213858994,0.6358143511776646,0.711317721597745,0.18325464217214657,0.6462841389600252,0.008209763565225556,427309.7819159457,0.567646241199188
496.0,4.0,872.311579605079,996.0,0.4290785990213757,0.4819252868175116,0.6352945216293311,0.7127504803590995,0.18373203588580833,0.6479677633502277,0.009106624605928142,502767.0249534737,0.5679997252920549
500.0,4.0,873.9559611707917,1000.0,0.42923419897242593,0.4829810487783084,0.6353958373262013,0.7141760402504753,0.18405248146323425,0.6490978787548661,0.00966901122810817,466840.7017884697,0.5679308306181831
